index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
88,R0017329 Software Engineer,-1,2.9,"Epiq Systems, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
89,"Software Engineer, TikTok Frontend",$95K - $193K (Employer est.),3.6,TikTok,"Mountain View, CA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
90,"Software Engineer I, II, III, or Senior",$51K - $105K (Glassdoor est.),3.8,Alaska USA Federal Credit Union,"Anchorage, AK",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
91,Senior Software Engineer I,-1,4.2,FINALSITE,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
92,Senior Software Engineer,$120K - $160K (Employer est.),-1,"Prime Trust, LLC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
93,Senior Software Engineer,$120K - $150K (Employer est.),-1,Retail Benefits,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
94,"MTS 2, Software Engineer",$88K - $152K (Glassdoor est.),4.1,,"Scottsdale, AZ",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
95,Software Engineer,$70K - $80K (Employer est.),3.6,CarSaver,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
96,Software Developer,$64K - $130K (Glassdoor est.),3.9,"Tyler Technologies, Inc.","Lubbock, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
97,Associate Software Engineer,$65K - $114K (Glassdoor est.),3.7,Epsilon,"New York, NY",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
