index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
104,Junior Data Scientist,$40K - $75K (Employer est.),-1,"Arbor Research & Trading, LLC","Lake Barrington, Lake, IL",-1,-1,-1,-1,-1,-1
105,"AI/ML - Machine Learning Engineer, ML Platform & Technology",-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
106,Data Scientist/Data Analysis,$89K - $145K (Glassdoor est.),2.7,Specific Diagnostics,"Mountain View, CA",1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
107,Customer Transformation Data Scientist,$81K - $146K (Glassdoor est.),3.9,PwC,"New York, NY",10000+ Employees,1998,Consulting,Consulting,$5 to $10 billion (USD),Company - Private
108,Machine Learning Engineer,-1,3.6,TikTok,"Mountain View, CA",501 to 1000 Employees,2016,Internet,Internet,Unknown / Non-Applicable,Company - Private
109,"Data Scientist, Software Engineering Data Analytics",-1,4.3,Apple,"Cupertino, CA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
110,"AI/ML - Annotation Analyst, Canadian French Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
111,Data Analyst,$70K - $95K (Employer est.),-1,Flywheel Software,"New York, NY",-1,-1,-1,-1,-1,-1
112,Dir Data Analytics 1,$167K - $250K (Employer est.),4.0,Northrop Grumman,Maryland,10000+ Employees,1939,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Company - Public
113,Deep Learning Engineer - Perception Algorithms,-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
114,"Data Scientist, Strategic Planning",$67K - $124K (Glassdoor est.),-1,Wonder,"New York, NY",1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
115,Computer Vision Data Scientist,-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
116,"Analyst I/II, Data Science",$85K - $123K (Employer est.),3.8,Liberty Mutual Insurance,Remote,10000+ Employees,1912,Insurance Carriers,Insurance Carriers,$10+ billion (USD),Company - Private
117,"ISE, SIML - Robustness Analysis ML Engineer",-1,4.3,Apple,"Cupertino, CA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
118,"AI/ML - ML Engineer Engineer, ADPT, ML Platform & Technology",-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
119,Staff Data Scientist,$170K - $190K (Employer est.),4.0,Harnham,Remote,51 to 200 Employees,2006,Staffing & Outsourcing,Staffing & Outsourcing,$25 to $50 million (USD),Company - Private
120,Data Scientist,$65K (Employer est.),-1,Opanga Networks,"Seattle, WA",-1,-1,-1,-1,-1,-1
121,"Staff Data Scientist, Customer Analytics",$94K - $164K (Glassdoor est.),4.5,Intuit,"San Diego, CA",5001 to 10000 Employees,1983,Computer Hardware & Software,Computer Hardware & Software,$5 to $10 billion (USD),Company - Public
122,Geospatial Data Scientist,$145K - $175K (Employer est.),-1,EpochGeo,"Reston, VA",-1,-1,-1,-1,-1,-1
123,"Data Scientist, Software Engineering Data Analytics",-1,4.3,Apple,"Cupertino, CA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
124,Deep Learning Engineer - Perception Algorithms,-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
